Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-04-23 18:00:00,53.9160000000,18.8420000000,0.3980000000,774.1860000000,9.5710000000,13.4100000000,755.0495931919,62.5750000000,0.1500000000,98.2500000000
Площадка 21 414,2025-04-23 18:20:00,63.4980000000,7.9020000000,0.4980000000,836.5420000000,2.3830000000,13.0200000000,754.9670864068,64.3850000000,0.1500000000,98.1500000000
Площадка 21 414,2025-04-23 18:40:00,47.7570000000,23.9520000000,0.4930000000,556.1840000000,1.4060000000,12.5950000000,754.9220827058,65.7600000000,0.1500000000,98.2500000000
Площадка 21 414,2025-04-23 19:00:00,55.1130000000,18.1990000000,0.8580000000,660.9450000000,0.6040000000,12.1000000000,754.8920802385,67.8350000000,0.1500000000,98.4000000000
Площадка 21 414,2025-04-23 19:20:00,52.4670000000,18.5970000000,0.6510000000,618.7450000000,0.4320000000,11.7500000000,754.8170740702,69.2950000000,0.1500000000,98.1500000000
Площадка 21 414,2025-04-23 19:40:00,41.9270000000,23.7520000000,1.8060000000,536.1720000000,0.5510000000,11.2300000000,754.7120654346,71.1050000000,0.1790000000,93.3500000000
Площадка 21 414,2025-04-23 20:00:00,44.4380000000,18.6760000000,0.8830000000,566.3290000000,0.5410000000,10.9100000000,754.6595611167,72.6200000000,0.1500000000,91.2000000000
Площадка 21 414,2025-04-23 20:20:00,39.2480000000,21.8530000000,1.2060000000,536.4650000000,0.4620000000,10.5700000000,754.5095487801,73.9800000000,0.1500000000,91.4000000000
Площадка 21 414,2025-04-23 20:40:00,37.0140000000,22.2770000000,0.9870000000,555.1290000000,0.6580000000,10.3000000000,754.3145327426,75.4700000000,0.1500000000,91.1500000000
Площадка 21 414,2025-04-23 21:00:00,42.2260000000,11.5260000000,1.3580000000,603.5660000000,0.5090000000,9.9800000000,754.1420185555,76.6750000000,0.1500000000,91.3000000000
Площадка 21 414,2025-04-23 21:20:00,42.1450000000,10.3220000000,1.8570000000,563.3580000000,0.5360000000,9.5650000000,753.9620037516,78.6400000000,0.1500000000,91.1000000000
Площадка 21 414,2025-04-23 21:40:00,42.4880000000,8.8880000000,1.9550000000,549.2770000000,0.4220000000,9.7800000000,753.7219840130,77.8750000000,0.1500000000,91.5500000000
Площадка 21 414,2025-04-23 22:00:00,45.6820000000,10.6920000000,5.7550000000,636.1580000000,0.4430000000,10.2550000000,753.6544784615,75.6250000000,0.1510000000,94.0500000000
Площадка 21 414,2025-04-23 22:20:00,42.6140000000,13.2390000000,3.2740000000,556.3470000000,0.6080000000,10.1950000000,753.5794722932,74.9050000000,0.1500000000,154.6500000000
Площадка 21 414,2025-04-23 22:40:00,38.2790000000,22.4350000000,0.4600000000,483.5780000000,0.5030000000,10.2400000000,753.4594624239,74.3350000000,0.1500000000,182.0000000000
Площадка 21 414,2025-04-23 23:00:00,36.2180000000,25.2940000000,0.4990000000,452.5470000000,0.4860000000,10.2400000000,753.3394525547,74.1000000000,0.1500000000,184.7000000000
Площадка 21 414,2025-04-23 23:20:00,34.2380000000,23.7880000000,1.1380000000,475.8950000000,0.5670000000,9.8350000000,753.2044414517,75.0050000000,0.1510000000,160.6000000000
Площадка 21 414,2025-04-23 23:40:00,34.2700000000,18.3850000000,1.2950000000,536.1350000000,0.5810000000,9.4250000000,753.0994328161,76.9800000000,0.1500000000,160.4000000000
Площадка 21 414,2025-04-24 00:00:00,32.0130000000,18.7800000000,1.3990000000,519.8310000000,0.5610000000,9.0800000000,753.0619297320,78.1400000000,0.1520000000,172.2500000000
Площадка 21 414,2025-04-24 00:20:00,31.7000000000,18.9630000000,1.0930000000,471.4800000000,0.4580000000,9.0900000000,753.0169260310,78.1350000000,0.1500000000,144.3000000000
Площадка 21 414,2025-04-24 00:40:00,33.8890000000,14.1750000000,2.2890000000,485.9630000000,0.3910000000,8.9800000000,753.0244266478,79.4050000000,0.1560000000,134.4000000000
